Dish Name,Dish Description,Restaurant Name,Dish MRP,Discount,Dicounted Price,Tax,Dish Type,Dish Cuisine,Dish Course
Murgh Kefta (Chicken Meatball Kebab),Minced chicken kebabs cooked into soft delicious meatballs served with Minty dip.,Behrouz Biryani,235.0,0.0,235.0,11.75,non-veg,North Indian,Starter
Murgh Koobideh (Chicken Tikki Kebab),Ground chicken flavored with cardamom & green chilli and grilled to perfection.,Behrouz Biryani,255.0,0.0,255.0,12.75,non-veg,North Indian,Starter
Murgh Haleem Kebab (6 Pcs),"Crafted by Celebrity Chef Kunal Kapur slow-cooked haleem, a speciality of Mehfil-e-Ramadan is fused with Hyderabadi spices, rolled into elegant kebabs & char-grilled to perfection in ghee.",Behrouz Biryani,349.0,0.0,349.0,17.45,non-veg,North Indian,Starter
Murgh Malai Kebab (6 Pcs),Brimming with impeccable flavours this rich kebab delicacy is as delectable as it is charming. Succulent chicken pieces are eloquently spiced with royal spices and then grilled to perfection to lend it the fascinating smoky flavour.,Behrouz Biryani,399.0,0.0,399.0,19.95,non-veg,North Indian,Starter
"Gosht-E-Galouti Kebab (Mutton Galauti Kebab,6 Pcs)",A melt-in-mouth culinary delicacy it can take the most enigmatic feasts a notch above. Tenderest mutton is minced to perfection & cooked with delicate spices to offer you a truly exquisite culinary experience.,Behrouz Biryani,435.0,0.0,435.0,21.75,non-veg,North Indian,Starter
Murgh Seekh Kebab (6 Pcs),"One of the most revered kebab delicacies, this culinary marvel is crafted with minced chicken that is elegantly spiced with royal spices and is served with a refreshing mint dip.",Behrouz Biryani,399.0,0.0,399.0,19.95,non-veg,North Indian,Starter
Beetroot Kebab (6 Pcs),(6 Pcs) Savour the flavours of handpicked fresh beetroots and roasted peanuts with a subtle hint of spices. These royal beetroot kebabs are crisp on the outside and soft on the inside.,Behrouz Biryani,239.0,0.0,239.0,11.95,veg,Indian,Starter
Aloo Chaap Tikki,"(6 pcs) A street favourite recipe that now resides in our royal kitchens. A mix of mashed potatoes, fresh coriander, chilies and onions, shallow-fried to form the perfect tea-time snack.",Behrouz Biryani,219.0,0.0,219.0,10.95,veg,Indian,Starter
Raan-E-Murgh Biryani (Chicken Whole Leg Biryani) (Serves 1),"(With Bone, Served with 1 Gulab Jamun & Raita) A classic redefined with a touch of royalty! Entice your taste buds with the indulgent chicken whole leg, marinated in exquisite royal spices, laid atop a bed of fragrant, long-grain basmati rice.",Behrouz Biryani,459.0,0.0,459.0,22.95,non-veg,North Indian,Main Course
Lazeez Bhuna Murgh (Chicken Dum Biryani Boneless - Serves 1),"(Boneless, Served with 1 Gulab Jamun & Mint Raita) In this culinary jewel from Behrouz, Tender chicken pieces are marinated with exuberant bhuna spices that are freshly ground and dum pukht with aromatic rice.",Behrouz Biryani,385.0,0.0,385.0,19.25,non-veg,Mughlai,Main Course
Dum Gosht (Mutton Dum Biryani - Boneless - Serves 1),"(Boneless, Served with 1 Gulab Jamun & Mint Raita) In this most enigmatic & treasured recipe of Behrouz, immaculately spiced fresh, succulent mutton pieces are layered with basmati & then slow-cooked on a charcoal fire.",Behrouz Biryani,535.0,0.0,535.0,26.75,non-veg,Mughlai,Main Course
Zaikedaar Paneer (Paneer Dum Biryani - Serves 1),"(Served with 1 Gulab Jamun & Mint Raita) In this extravagant dish, soft & crumbly, fresh paneer is marinated with exquisite royal spices & layered with basmati to create a dish that is as delectable as it is extravagant.",Behrouz Biryani,345.0,0.0,345.0,17.25,veg,Mughlai,Main Course
Subz-E-Biryani (Veg Dum Biryani - Serves 1),"(Served with 1 Gulab Jamun & Mint Raita) Adorned with fresh vegetables, golden-hued long-grain basmati, & the coveted Behrouz spice mix, this dish will lend you an experience unlike any other.",Behrouz Biryani,315.0,0.0,315.0,15.75,veg,Mughlai,Main Course
"Murgh Kefta (Minced Chicken Meatball Biryani, Serves 1)","(Served with 1 Gulab Jamun & Mint Raita) Spicy, succulent minced chicken meatballs combined with an array of spices and long grain, golden-hued basmati makes this concoction a culinary meal you cannot miss",Behrouz Biryani,375.0,0.0,375.0,18.75,non-veg,North Indian,Main Course
"Malai Kofta Biryani (Creamy Kebab Biryani, Serves 1)","(Served with 1 Gulab Jamun & Mint Raita) Enriched with gentle flavours of curd and subtly spiced with cumin and ginger, these tender Malai Koftas are layered with basmati rice and slow-cooked to perfection making this a must-try extravagant meal",Behrouz Biryani,419.0,0.0,419.0,20.95,veg,Mughlai,Main Course
Murgh Afghani Tikka (Creamy Chicken Tikka Dum Biryani - Serves 1),"(Boneless, Served with 1 Gulab Jamun & Mint Raita) Legendary for its rich taste & creamy texture, tender chicken marinated in fresh creamy yoghurt & spices is layered with aromatic basmati. Let your tastebuds feel enchanted!",Behrouz Biryani,435.0,0.0,435.0,21.75,non-veg,Mughlai,Main Course
Murgh Tikka (Chicken Tikka Dum Biryani - Serves 1),"(Boneless, Served with 1 Gulab Jamun & Mint Raita) A potpourri of extravagant flavours, tender chicken spiced with freshly ground Behrouz masala is charcoal-grilled then layered with fragrant basmati & dum-pukht in its full glory.",Behrouz Biryani,435.0,0.0,435.0,21.75,non-veg,Mughlai,Main Course
"Do Gosht Ki Dum Biryani (Mutton & Chicken Dum Biryani, Serves 1)","(Boneless, Served with 1 Gulab Jamun & Mint Raita) Tantalise your tastebuds with this epicurean delight of succulent chicken & mutton pieces marinated in aromatic spices and dum-pukht with long-grain basmati.",Behrouz Biryani,479.0,0.0,479.0,23.95,non-veg,Mughlai,Main Course
"Murgh Makhani (Butter Chicken Biryani, Serves 1)","(Boneless, Served with 1 Gulab Jamun & Mint Raita) Tender chicken pieces cooked in creamy butter chicken gravy, layered with aromatic basmati rice and dum pukht in its full glory. A royal fusion between two of Indias most beloved dishes.",Behrouz Biryani,439.0,0.0,439.0,21.95,non-veg,North Indian,Main Course
Tokhm-E-Biryani (Classic Egg Dum Biryani - Serves 1),(Served with 1 Gulab Jamun & Mint Raita) A symphony of humble and intrinsic flavours it is. Hand-picked eggs are freshly boiled to perfection & later adorned with artfully ground fresh Behrouz spices & let to cook in its full glory with basmati rice.,Behrouz Biryani,345.0,0.0,345.0,17.25,non-veg,Lucknowi,Main Course
Paneer Subz (Classic Paneer And Veg Dum Biryani - Serves 1),"(Served with 1 Gulab Jamun & Mint Raita) In this immaculately balanced culinary masterpiece, diced fresh vegetables infused with succulent pieces of spiced paneer are layered on a bed of aromatic rice.",Behrouz Biryani,345.0,0.0,345.0,17.25,veg,Mughlai,Main Course
Raan-E-Murgh Biryani (Chicken Whole Leg Biryani) (Serves 2),"(With Bone, Served with 2 Gulab Jamun & Raita) A classic redefined with a touch of royalty! Entice your taste buds with the indulgent chicken whole leg, marinated in exquisite royal spices, laid atop a bed of fragrant, long-grain basmati rice.",Behrouz Biryani,869.0,0.0,869.0,43.45,non-veg,North Indian,Main Course
Lazeez Bhuna Murgh (Chicken Dum Biryani Boneless - Serves - 2),"(Boneless, Served with 2 Gulab Jamuns & Mint Raita) In this culinary jewel from Behrouz, Tender chicken pieces are marinated with exuberant bhuna spices that are freshly ground and dum pukht with aromatic rice.",Behrouz Biryani,725.0,0.0,725.0,36.25,non-veg,Mughlai,Main Course
Dum Gosht (Mutton Dum Biryani- Boneless - Serves 2),"(Boneless, Served with 2 Gulab Jamuns & Mint Raita) In this most enigmatic & treasured recipe of Behrouz, immaculately spiced fresh, succulent mutton pieces are layered with basmati & then slow-cooked on a charcoal fire.",Behrouz Biryani,919.0,0.0,919.0,45.95,non-veg,Mughlai,Main Course
Zaikedaar Paneer (Paneer Dum Biryani - Serves 2),"(Served with 2 Gulab Jamuns & Mint Raita) In this extravagant dish, soft & crumbly, fresh paneer is marinated with exquisite royal spices & layered with basmati to create a dish that is as delectable as it is extravagant.",Behrouz Biryani,655.0,0.0,655.0,32.75,veg,Mughlai,Main Course
Subz-E-Biryani (Veg Dum Biryani - Serves 2),"(Served with 2 Gulab Jamuns & Mint Raita) Adorned with fresh vegetables, golden-hued long-grain basmati, & the coveted Behrouz spice mix, this dish will lend you an experience unlike any other.",Behrouz Biryani,589.0,0.0,589.0,29.45,veg,Mughlai,Main Course
"Murgh Kefta (Minced Chicken Meatball Biryani, Serves 2)","(Served with 2 Gulab Jamuns & Mint Raita) Spicy, succulent minced chicken meatballs combined with an array of spices and long grain, golden-hued basmati makes this concoction a culinary meal you cannot miss",Behrouz Biryani,699.0,0.0,699.0,34.95,non-veg,North Indian,Main Course
"Malai Kofta Biryani (Creamy Kebab Biryani, Serves 2)","(Served with 2 Gulab Jamuns & Mint Raita) Enriched with gentle flavours of curd and subtly spiced with cumin and ginger, these tender Malai Koftas are layered with basmati rice and slow-cooked to perfection making this a must-try extravagant meal",Behrouz Biryani,789.0,0.0,789.0,39.45,veg,Mughlai,Main Course
Murgh Afghani Tikka (Creamy Chicken Tikka Dum Biryani - Serves 2),"(Boneless, Served with 2 Gulab Jamuns & Mint Raita) Legendary for its rich taste & creamy texture, tender chicken marinated in fresh creamy yoghurt & spices is layered with aromatic basmati. Let your tastebuds feel enchanted!",Behrouz Biryani,789.0,0.0,789.0,39.45,non-veg,Mughlai,Main Course
Murgh Tikka (Chicken Tikka Dum Biryani - Serves-2),"(Boneless, Served with 2 Gulab Jamuns & Mint Raita) A potpourri of extravagant flavours, tender chicken spiced with freshly ground Behrouz masala is charcoal-grilled then layered with fragrant basmati & dum-pukht in its full glory.",Behrouz Biryani,789.0,0.0,789.0,39.45,non-veg,Mughlai,Main Course
Paneer Subz (Classic Paneer And Veg Dum Biryani - Serves 2),"(Served with 2 Gulab Jamuns & Mint Raita) In this immaculately balanced culinary masterpiece, diced fresh vegetables infused with succulent pieces of spiced paneer are layered on a bed of aromatic rice.",Behrouz Biryani,655.0,0.0,655.0,32.75,veg,Mughlai,Main Course
Tokhm-E-Biryani (Classic Egg Dum Biryani - Serves 2),(Served with 2 Gulab Jamuns & Mint Raita) Subtle flavours of hard-boiled eggs are adorned with exuberant spices & let to cook in its full glory with basmati rice.,Behrouz Biryani,655.0,0.0,655.0,32.75,non-veg,Lucknowi,Main Course
"Murgh Makhani (Butter Chicken Biryani, Serves 2)","(Boneless, Served with 2 Gulab Jamuns & Mint Raita) Tender chicken pieces cooked in creamy butter chicken gravy, layered with aromatic basmati rice and dum pukht in its full glory. A royal fusion between two of Indias most beloved dishes.",Behrouz Biryani,789.0,0.0,789.0,39.45,non-veg,North Indian,Main Course
Do Gosht Ki Dum Biryani (Mutton & Chicken Dum Biryani Serves 2),"(Boneless, Served with 2 Gulab Jamuns & Mint Raita) Tantalise your tastebuds with this epicurean delight of succulent chicken & mutton pieces marinated in aromatic spices and dum-pukht with long-grain basmati.",Behrouz Biryani,889.0,0.0,889.0,44.45,non-veg,Mughlai,Main Course
Raan-E-Murgh Biryani (Chicken Whole Leg Biryani) (Serves 4),"(With Bone, Served with 4 Gulab Jamun & Raita) A classic redefined with a touch of royalty! Entice your taste buds with the indulgent chicken whole leg, marinated in exquisite royal spices, laid atop a bed of fragrant, long-grain basmati rice.",Behrouz Biryani,1619.0,0.0,1619.0,80.95,non-veg,North Indian,Main Course
Lazeez Bhuna Murgh (Chicken Dum Biryani Boneless - Serves 4),"(Boneless, Served with 4 Gulab Jamuns & Mint Raita) In this culinary jewel from Behrouz, Tender chicken pieces are marinated with exuberant bhuna spices that are freshly ground and dum pukht with aromatic rice.",Behrouz Biryani,1389.0,0.0,1389.0,69.45,non-veg,Mughlai,Main Course
Dum Gosht (Mutton Dum Biryani - Boneless - Serves 4),"(Boneless, Served with 4 Gulab Jamuns & Mint Raita) In this most enigmatic & treasured recipe of Behrouz, immaculately spiced fresh, succulent mutton pieces are layered with basmati & then slow-cooked on a charcoal fire.",Behrouz Biryani,1789.0,0.0,1789.0,89.45,non-veg,Mughlai,Main Course
Zaikedaar Paneer (Paneer Dum Biryani - Serves 4),"(Served with 4 Gulab Jamuns & Mint Raita) In this extravagant dish, soft & crumbly, fresh paneer is marinated with exquisite royal spices & layered with basmati to create a dish that is as delectable as it is extravagant.",Behrouz Biryani,1239.0,0.0,1239.0,61.95,veg,Mughlai,Main Course
Subz-E-Biryani (Veg Dum Biryani - Serves 4),"(Served with 4 Gulab Jamuns & Mint Raita) Adorned with fresh vegetables, golden-hued long-grain basmati, & the coveted Behrouz spice mix, this dish will lend you an experience unlike any other.",Behrouz Biryani,1139.0,0.0,1139.0,56.95,veg,Mughlai,Main Course
Do Gosht Ki Dum Biryani (Mutton & Chicken Dum Biryani Serves 4).,"(Boneless, Served with 4 Gulab Jamuns & Mint Raita) Tantalise your tastebuds with this epicurean delight of succulent chicken & mutton pieces marinated in aromatic spices and dum-pukht with long-grain basmati.",Behrouz Biryani,1689.0,0.0,1689.0,84.45,non-veg,Mughlai,Main Course
Paneer Subz (Classic Paneer And Veg Dum Biryani - Serves 4),"(Served with 4 Gulab Jamuns & Mint Raita) In this immaculately balanced culinary masterpiece, diced fresh vegetables infused with succulent pieces of spiced paneer are layered on a bed of aromatic rice.",Behrouz Biryani,1239.0,0.0,1239.0,61.95,veg,Mughlai,Main Course
Murgh Afghani Tikka (Creamy Chicken Tikka Dum Biryani - Serves 4),"(Boneless, Served with 4 Gulab Jamuns & Mint Raita) Legendary for its rich taste & creamy texture, tender chicken marinated in fresh creamy yoghurt & spices is layered with aromatic basmati. Let your tastebuds feel enchanted!",Behrouz Biryani,1509.0,0.0,1509.0,75.45,non-veg,Mughlai,Main Course
Murgh Tikka (Chicken Tikka Dum Biryani - Serves 4),"(Boneless, Served with 4 Gulab Jamuns & Mint Raita) Legendary for its rich taste & creamy texture, tender chicken marinated in fresh creamy yoghurt & spices is layered with aromatic basmati. Let your tastebuds feel enchanted.",Behrouz Biryani,1509.0,0.0,1509.0,75.45,non-veg,Mughlai,Main Course
"Murgh Kefta (Minced Chicken Meatball Biryani, Serves 4)","(Served with 4 Gulab Jamuns & Mint Raita) Spicy, succulent minced chicken meatballs combined with an array of spices and long grain, golden-hued basmati makes this concoction a culinary meal you cannot miss",Behrouz Biryani,1339.0,0.0,1339.0,66.95,non-veg,North Indian,Main Course
"Malai Kofta Biryani (Creamy Kebab Biryani, Serves 4)","(Served with 4 Gulab Jamuns & Mint Raita) Enriched with gentle flavours of curd and subtly spiced with cumin and ginger, these tender Malai Koftas are layered with basmati rice and slow-cooked to perfection making this a must-try extravagant meal",Behrouz Biryani,1509.0,0.0,1509.0,75.45,veg,Mughlai,Main Course
"Murgh Makhani (Butter Chicken Biryani, Serves 4)","(Boneless, Served with 4 Gulab Jamuns & Mint Raita) Tender chicken pieces cooked in creamy butter chicken gravy, layered with aromatic basmati rice and dum pukht in its full glory. A royal fusion between two of Indias most beloved dishes.",Behrouz Biryani,1509.0,0.0,1509.0,75.45,non-veg,North Indian,Main Course
"Spicy Lazeez Bhuna Murgh (Hyderabadi Chicken Dum Biryani, Boneless Serves 1)","(Spicy & Boneless, Served with 1 Gulab Jamun & Mint Raita) Crafted in Hyderabadi style, tender chicken pieces are dum-pukht with aromatic rice & exuberant bhuna spices in full glory. It is an experience unlike any other.",Behrouz Biryani,399.0,0.0,399.0,19.95,non-veg,Mughlai,Main Course
"Spicy Lazeez Bhuna Murgh (Hyderabadi Chicken Dum Biryani, Boneless - Serves 2)","(Spicy & Boneless, Served with 2 Gulab Jamuns & Mint Raita) Crafted in Hyderabadi style, tender chicken pieces are dum-pukht with aromatic rice & exuberant bhuna spices in full glory. It is an experience unlike any other.",Behrouz Biryani,749.0,0.0,749.0,37.45,non-veg,Mughlai,Main Course
"Spicy Dum Gosht (Hyderabadi Mutton Dum Biryani, Boneless - Serves 1)","(Spicy & Boneless, Served with 1 Gulab Jamun & Mint Raita) Inspired by the Hyderabadi Style, freshly marinated tender mutton pieces are laid on long-grain rice are slow cooked to create a special delicacy",Behrouz Biryani,549.0,0.0,549.0,27.45,non-veg,Hyderabadi,Main Course
"Spicy Dum Gosht (Hyderabadi Mutton Dum Biryani, Boneless Serves 2)","(Spicy & Boneless, Served with 2 Gulab Jamuns & Mint Raita) Inspired by the Hyderabadi Style, freshly marinated tender mutton pieces are laid on long-grain rice are slow cooked to create a special delicacy",Behrouz Biryani,945.0,0.0,945.0,47.25,non-veg,Hyderabadi,Main Course
Spicy Subz-E-Biryani (Hyderabadi Veg Biryani - Serves 1),"(Spicy, Served with 1 Gulab Jamun & Mint Raita) Inspired by the Hyderabadi Style, fresh, crisp vegetables marinated in a spicier blend are layered & dum pukht with golden-hued basmati.",Behrouz Biryani,329.0,0.0,329.0,16.45,veg,Mughlai,Main Course
Spicy Subz-E-Biryani (Hyderabadi Veg Dum Biryani Serves 2),"(Spicy, Served with 2 Gulab Jamuns & Mint Raita) Inspired by the Hyderabadi Style, fresh, crisp vegetables marinated in a spicier blend are layered & dum pukht with golden-hued basmati.",Behrouz Biryani,615.0,0.0,615.0,30.75,veg,Mughlai,Main Course
Spicy Zaikedaar Paneer (Hyderabadi Paneer Dum Biryani - Serves 1),"(Spicy, Served with 1 Gulab Jamun & Mint Raita) Crafted in Hyderabadi style, this recipe cherishes the love for all things royal. Fresh paneer marinated with exquisite spices is layered with basmati & slow-cooked to perfection.",Behrouz Biryani,359.0,0.0,359.0,17.95,veg,Mughlai,Main Course
Spicy Zaikedaar Paneer (Hyderabadi Paneer Dum Biryani Serves 2),"(Spicy, Served with 2 Gulab Jamuns & Mint Raita) Crafted in Hyderabadi style, this recipe cherishes the love for all things royal. Fresh paneer marinated with exquisite spices is layered with basmati & slow-cooked to perfection.",Behrouz Biryani,679.0,0.0,679.0,33.95,veg,Mughlai,Main Course
Gosht-e-Haleem With Royal Dates,"(Mutton Haleem-Serves 1 & Royal Dates-3pcs) Relish our Gosht-e-Haleem, a special porridge-textured dish of slow-cooked tender mutton, prepared with a blend of lentils, barley and aromatic masalas along with 100% natural, high quality Royal Dates.",Behrouz Biryani,359.0,0.0,359.0,17.95,non-veg,Mughlai,Main Course
Gosht-e-Haleem (Mutton Haleem- Serves 1),"A thick, creamy, porridge textured dish of slow-cooked tender mutton, prepared with a blend of lentils, barley and aromatic masalas. Relish this Ramzan classic as a main course or an accompaniment with your favourite biryani.",Behrouz Biryani,339.0,0.0,339.0,16.95,non-veg,Mughlai,Main Course
Gosht-e-Haleem (Mutton Haleem- Serves 2),"A thick, creamy, porridge textured dish of slow-cooked tender mutton, prepared with a blend of lentils, barley and aromatic masalas. Relish this Ramzan classic as a main course or an accompaniment with your favourite biryani.",Behrouz Biryani,559.0,0.0,559.0,27.95,non-veg,Mughlai,Main Course
Gosht E Haleem With Kulcha,"(Mutton Haleem-Serves 1 with 1 Kulcha) Pair our classic Ramzan special Gosht-e-Haleem, along with soft bread Kulcha! Our gosht haleem is a thick, creamy, porridge textured dish of slow-cooked tender mutton, prepared with a blend of lentils, barley and aromatic masalas.",Behrouz Biryani,379.0,0.0,379.0,18.95,non-veg,Mughlai,Main Course
Shahi Chicken Biryani With Gosht E Haleem Feast,"(Lazeez Bhuna Biryani -Serves 1 with Gulab Jamun & Raita + Mutton Haleem-Serves 1) Relish the rich, authentic flavours of tender mutton and lentils with Gosht-e-Haleem and the goodness of tender chicken marinated in exhuberant bhuna spices with our Lazeez Bhuna Murgh Biryani. Make Ramzan khaas with two of our most magnificent dishes.",Behrouz Biryani,699.0,0.0,699.0,34.95,non-veg,Mughlai,Main Course
Shahi Mutton Biryani With Gosht E Haleem Feast,"(Dum Gosht Biryani -Serves 1 with Gulab Jamun & Raita + Mutton Haleem-Serves 1) Begin your festive jashn with a generous daawat of creamy, porridge-textured flavours of Gosht-e-Haleem along with one of our shaandaar classics and most loved, Dum Gosht Biryani.",Behrouz Biryani,849.0,0.0,849.0,42.45,non-veg,Mughlai,Main Course
Gosht-e-Haleem With Kulcha & Falafel,"(Mutton Haleem-Serves 1 with 1 Kulcha & Falafel-12Pcs) Enjoy creamy Gosht-e-Haleem, made of tender mutton and a lajawab blend of lentils, barley, aromatic masalas along with soft-leavened Kulcha and a plateful of nugget-sized Falafel-e-Khaas. A Ramzan special daawat you simply cannot miss.",Behrouz Biryani,449.0,0.0,449.0,22.45,non-veg,Mughlai,Main Course
"Gosht-e-Haleem Feast With Kulcha, Royal Dates & Ayran","(Mutton Haleem-Serves 1, Kulcha-1, Royal Dates-3pcs, Buttermilk-1) Pair our classic Ramzan porridge-textured Gosht-e-Haleem, along with soft bread Kulcha, 100% natural, high quality Royal Dates and refreshing buttermilk.",Behrouz Biryani,459.0,0.0,459.0,22.95,non-veg,Mughlai,Main Course
"Gosht-e-Haleem Feast With Kebabs, Royal Dates & Ayran","(Mutton Haleem-Serves 1, Murgh Kefta-9pcs, Royal Dates-3pcs, Buttermilk-1) Relish our Gosht-e-Haleem, a special porridge-textured dish of slow-cooked tender mutton with the lajawab combination of 100% natural, high quality Royal Dates, delectable Murgh Kefta and refreshing buttermilk.",Behrouz Biryani,499.0,0.0,499.0,24.95,non-veg,Mughlai,Main Course
Shahi Raan-e-Murgh Biryani With Gosht-e-Haleem & Royal Dates,"(Chicken Whole Leg Biryani -Serves 1 with Gulab Jamun & Raita, Mutton Haleem-Serves 1, Royal Dates 3pcs) Set up your Iftar feast with the unique Raan-e-Murgh Biryani, made with premium chicken whole leg, marinated with royal spices, along with the Ramzan special porridge-textured Gosht-e-Haleem, and 100% natural, high quality Royal Dates.",Behrouz Biryani,729.0,0.0,729.0,36.45,non-veg,Mughlai,Main Course
Shahi Chicken Biryani With Gosht-e-Haleem & Royal Dates,"(Lazeez Bhuna Murgh Biryani -Serves 1 with Gulab Jamun & Raita, Mutton Haleem-Serves 1, Royal Dates-3pcs)  Set up your Iftar feast with an all-time favourite biryani made with tender chicken pieces, marinated with exuberant bhuna spices and dum pukht with aromatic rice, along with Gosht-e-Haleem, and 100% natural, high quality Royal Dates.",Behrouz Biryani,749.0,0.0,749.0,37.45,non-veg,Mughlai,Main Course
Shahi Mutton Biryani With Gosht-e-Haleem & Royal Dates,"(Dum Gosht Biryani -Serves 1 with Gulab Jamun & Raita, Mutton Haleem-Serves 1, Royal Dates-3pcs) Set up your Iftar feast with an immaculately spiced biryani of succulent mutton pieces layered on long-grain basmati and dumpukht to perfection, along with the Ramzan special porridge-textured Gosht-e-Haleem, and 100% natural, high quality Royal Dates.",Behrouz Biryani,899.0,0.0,899.0,44.95,non-veg,Mughlai,Main Course
"Gosht-e-Haleem Feast With Kebabs, Royal Dates & Thums Up","(Mutton Haleem-Serves 1, Murgh Kefta-9pcs, Royal Dates-3pcs, Thums Up-1) Relish our Gosht-e-Haleem, a special porridge-textured dish of slow-cooked tender mutton with 100% natural, high quality Royal Dates, delectable Murgh Kefta and a refreshing Thums Up to sum up your feast.",Behrouz Biryani,499.0,0.0,499.0,24.95,non-veg,Mughlai,Main Course
"Gosht-e-Haleem Feast With Kulcha, Royal Dates & Thums Up","(Mutton Haleem-Serves 1, Kulcha-1, Royal Dates-3pcs, Thums Up-1) Pair our classic Ramzan porridge-textured Gosht-e-Haleem, along with soft bread Kulcha, 100% natural, high quality Royal Dates and a refreshing Thums Up to sum up your feast.",Behrouz Biryani,459.0,0.0,459.0,22.95,non-veg,Mughlai,Main Course
Gosht-e-Haleem With Thums Up,(Mutton Haleem-Serves 1 with Thums Up-1) Light up your festive daawat with the goodness of slow-cooked tender mutton and lentils with the authentic Gosht-e-Haleem and a refreshing beverage to sum up your daawat.,Behrouz Biryani,379.0,0.0,379.0,18.95,non-veg,Mughlai,Main Course
Dum Murgh Keema (Chicken Keema- Serves 2),"(Half Kg) When tender & juicy chicken is finely minced and slow-cooked with Behrouz's shahi masalas, you are bound to have a memorable daawat! Garnished with fresh coriander leaves, enjoy this shahi delicacy with your choice of bread.",Behrouz Biryani,399.0,0.0,399.0,19.95,non-veg,North Indian,Main Course
Old Delhi's Murgh Makhni (Butter Chicken Boneless- Serves 2),"(Half Kg) Relish juicy grilled chicken pieces prepared in a rich gravy of blended cashews, fresh tomatoes, masalas and a generous dollop of smooth butter. An unbeatable Mughlai wonder, our all-time favourite.",Behrouz Biryani,499.0,0.0,499.0,24.95,non-veg,North Indian,Main Course
Kulcha (Pack Of 2),"Complete your daawat with this desi, soft-leavened bread. Pair your favourite curries and gravies with a side of these fluffy Kulchas,",Behrouz Biryani,99.0,0.0,99.0,4.95,veg,American,Dessert
Khasta Tawa Paratha (Pack Of 3),"Have an indulgent and satisfying feast with these large, triangular shaped parathas seared on tawa until crispy. Nothing beats these crispy parathas for a wholesome meal.",Behrouz Biryani,99.0,0.0,99.0,4.95,veg,North Indian,Main Course
